recipe_id,search_term
96313,diabetic
96313,low-calorie
96313,vegetarian
96313,low-carb
96313,side
232037,dinner
232037,shrimp
41090,vegetarian
41090,salad
41090,side
41090,dinner
41090,vegan
60656,side
60656,vegetarian
60656,italian
232047,dinner
232050,dessert
232076,casserole
232076,dinner
232076,chicken
232083,breakfast
232083,gluten-free
79222,healthy
79222,low-calorie
79222,low-fat
79222,low-sodium
393638,low-carb
393638,lunch
232086,bread
232088,cookie
232088,dessert
232090,dinner
232095,vegetarian
232095,italian
232095,pasta
232095,healthy
232095,dinner
232096,cake
232096,dessert
232097,soup
232097,chicken
232099,appetizer
232099,dinner
232102,low-calorie
232102,low-sodium
232102,caribbean
232102,low-carb
232102,side
232103,lunch
232103,italian
232103,snack
232057,mexican
232057,dinner
232057,beef
202033,dinner
202033,vegetarian
202033,vegan
202033,soup
503579,healthy
503579,moroccan
503579,low-sodium
505092,dessert
505092,dinner
412809,gluten-free
412809,dinner
412809,vegetarian
412809,pasta
696,french
696,dessert
696,gluten-free
696,dinner
232105,dinner
248232,dessert
248232,bread
494714,pie
494714,dinner
494714,pizza
232107,cake
232107,dessert
232107,vegetarian
232108,dinner
232108,shrimp
232111,pork
232111,dinner
251759,cookie
251759,dessert
286971,dessert
286971,dinner
286971,vegetarian
286971,english
232064,low-calorie
232064,low-sodium
232064,low-carb
232064,mexican
232064,soup
350688,low-calorie
350688,lunch
350688,healthy
350688,low-carb
350688,appetizer
350688,snack
350688,shrimp
232115,appetizer
232117,dessert
232117,italian
232119,cuban
232119,caribbean
87750,southern
87750,bread
87750,baked
127155,appetizer
127155,low-calorie
127155,dinner
127155,low-carb
145772,side
145160,appetizer
145160,side
145160,low-calorie
171489,healthy
171489,low-fat
171489,low-sodium
171489,dinner
180132,diabetic
180132,low-carb
180132,low-fat
180132,soup
180132,chicken
232073,low-calorie
232073,low-sodium
232073,low-carb
232073,appetizer
232073,shrimp
180705,pizza
180705,dinner
180705,low-carb
181765,southern
181765,barbecue
195132,cake
195132,dessert
198312,cookie
